class_id,class_name,n_objects,hsv_h_hist_1,hsv_h_hist_2,hsv_h_hist_3,hsv_h_hist_4,hsv_h_hist_5,hsv_h_hist_6,hsv_h_hist_7,hsv_h_hist_8,hsv_h_hist_9,hsv_h_hist_10,hsv_h_hist_11,hsv_h_hist_12,hsv_h_hist_13,hsv_h_hist_14,hsv_h_hist_15,hsv_h_hist_16,hsv_s_hist_1,hsv_s_hist_2,hsv_s_hist_3,hsv_s_hist_4,hsv_s_hist_5,hsv_s_hist_6,hsv_s_hist_7,hsv_s_hist_8,hsv_v_hist_1,hsv_v_hist_2,hsv_v_hist_3,hsv_v_hist_4,hsv_v_hist_5,hsv_v_hist_6,hsv_v_hist_7,hsv_v_hist_8,b_mean,g_mean,r_mean,b_std,g_std,r_std,h_mean,s_mean,v_mean,h_std,s_std,v_std
19,Other plastic,173,0.038863,0.130158,0.026266,0.013468,0.011439,0.007509,0.007688,0.007097,0.016196,0.030378,0.011592,0.004882,0.002889,0.003386,0.008011,0.013511,0.083427,0.087889,0.069117,0.045742,0.024118,0.011492,0.007152,0.004396,0.016822,0.033695,0.04131,0.055724,0.053774,0.050473,0.042026,0.03951,110.813675,122.302589,128.044678,39.104919,39.752457,39.180782,51.507233,71.733513,138.93544,25.313023,30.338926,40.499695
20,Tissues,28,0.034834,0.135138,0.025132,0.009751,0.005723,0.002139,0.003616,0.00452,0.024062,0.030654,0.018002,0.004897,0.00184,0.001674,0.007754,0.023597,0.114583,0.063102,0.054847,0.042597,0.044343,0.006702,0.003842,0.003316,0.017479,0.027239,0.031436,0.040013,0.066903,0.064651,0.055618,0.029994,114.843002,125.160629,139.080856,45.335033,44.742611,43.170086,56.084064,68.45488,144.358795,28.902464,28.310976,44.660343
21,Wrapping paper,10,0.046997,0.098966,0.033447,0.008911,0.005737,0.007967,0.008496,0.001717,0.029728,0.046045,0.016268,0.009399,0.003703,0.00634,0.004305,0.005306,0.147786,0.098649,0.044027,0.021387,0.010628,0.004655,0.002897,0.003304,0.008341,0.027897,0.041903,0.052563,0.060506,0.050122,0.039876,0.052124,131.655273,133.644852,133.606766,49.624454,46.348728,47.832584,55.984253,48.218456,147.579712,36.50597,36.102226,47.176025
22,Normal paper,55,0.058052,0.1183,0.012987,0.008144,0.008074,0.00675,0.015045,0.005315,0.015189,0.035189,0.021193,0.008018,0.00576,0.002717,0.004144,0.008456,0.110542,0.085824,0.065446,0.04668,0.017022,0.005105,0.001824,0.000891,0.018712,0.020273,0.03721,0.048597,0.065675,0.050215,0.038346,0.054306,121.398422,130.182816,138.065125,41.80418,39.241947,37.803226,51.963757,60.489925,146.261383,29.294161,24.238775,40.449604
23,Paper bag,20,0.052307,0.133016,0.025069,0.008219,0.01001,0.005448,0.005066,0.002783,0.0054,0.02629,0.019088,0.006437,0.005977,0.004932,0.010177,0.013114,0.125618,0.093518,0.038241,0.052397,0.016866,0.004736,0.001619,0.000338,0.016496,0.037097,0.049337,0.048547,0.053975,0.041382,0.042725,0.043774,112.198097,122.502525,133.175949,44.750565,43.885323,45.995693,50.17849,55.529846,137.49353,36.253765,30.060049,46.736122
24,Plastic film,339,0.054176,0.10041,0.027123,0.016526,0.010192,0.005095,0.005128,0.004994,0.011469,0.037577,0.019406,0.008603,0.005825,0.004853,0.00905,0.012906,0.123149,0.082959,0.061024,0.032505,0.019047,0.008573,0.004121,0.001955,0.010937,0.024609,0.042685,0.050799,0.057045,0.056404,0.052259,0.038595,121.739929,131.343414,137.586533,42.580521,41.65131,41.471111,56.117325,58.791702,145.954391,34.460026,29.451975,42.904163
25,Garbage bag,23,0.04547,0.112007,0.041925,0.015837,0.015795,0.004731,0.004692,0.00553,0.019103,0.034859,0.013109,0.002105,0.001819,0.001992,0.003552,0.010806,0.093124,0.081762,0.057331,0.041564,0.028462,0.019004,0.009794,0.002293,0.051811,0.072181,0.048902,0.046447,0.032071,0.032354,0.034378,0.01519,77.8638,90.472023,94.80043,35.864948,41.324989,42.676937,48.403862,72.666512,102.921066,36.782574,34.943172,43.868038
26,Other plastic wrapper,194,0.050454,0.094458,0.032017,0.017398,0.011903,0.005298,0.005856,0.006013,0.022517,0.027689,0.014627,0.008943,0.006757,0.005345,0.009274,0.014786,0.102987,0.083532,0.063525,0.035569,0.022862,0.012831,0.006608,0.00542,0.011796,0.031222,0.042779,0.056719,0.056933,0.046272,0.038475,0.049138,118.372414,125.909554,130.973709,48.867504,47.549915,47.39526,57.20282,67.711716,142.900146,37.634933,39.066826,48.868607
27,Single-use carrier bag,40,0.035122,0.130294,0.042405,0.012124,0.006386,0.005554,0.009741,0.00835,0.023541,0.038497,0.009556,0.005019,0.002132,0.001247,0.001752,0.001613,0.115261,0.057937,0.065487,0.054639,0.023301,0.007798,0.004606,0.004305,0.008344,0.035628,0.036045,0.052509,0.05648,0.051851,0.046326,0.046151,118.768288,132.895554,136.241653,47.569054,46.143562,46.931175,45.455269,66.36673,146.467697,23.990614,33.039959,48.101875
28,Crisp packet,28,0.065842,0.11808,0.040757,0.013965,0.010045,0.006356,0.004249,0.002395,0.010367,0.011754,0.007164,0.007888,0.004284,0.00365,0.005188,0.021348,0.100144,0.076451,0.050316,0.04237,0.030706,0.017715,0.013018,0.002613,0.007098,0.027783,0.032264,0.043608,0.048848,0.053635,0.059913,0.060184,123.409935,135.456711,150.86496,47.037567,47.490356,48.845165,45.505962,72.632881,157.297211,38.540699,38.1208,47.171368
29,Spread tub,6,0.064982,0.12873,0.016452,0.004652,0.004286,0.002333,0.004272,0.001343,0.007636,0.03083,0.003798,0.001261,0.00472,0.008423,0.03304,0.016574,0.151638,0.056681,0.033325,0.018785,0.068726,0.003825,0.000353,0.0,0.001573,0.014893,0.029365,0.078383,0.119113,0.044067,0.029907,0.016032,115.391357,121.198814,137.033127,34.247871,36.287899,34.445778,56.340534,57.97884,140.01445,44.580402,26.042656,36.257656
30,Disposable food container,21,0.036199,0.168717,0.03039,0.018198,0.011579,0.007119,0.004922,0.001845,0.004302,0.013978,0.017764,0.006177,0.00367,0.002658,0.003581,0.002236,0.117982,0.06901,0.052114,0.051886,0.030928,0.0072,0.002352,0.00186,0.025274,0.039113,0.03547,0.048014,0.071839,0.067201,0.035114,0.011308,101.895706,114.139091,124.928932,36.312904,35.767414,36.106815,37.909504,63.450626,127.6903,26.191702,25.273977,36.859303
31,Foam food container,11,0.060532,0.118956,0.022483,0.019457,0.013139,0.0031,0.005415,0.007317,0.008944,0.012259,0.015403,0.003884,0.006503,0.010431,0.009729,0.01578,0.086973,0.086293,0.096547,0.042961,0.01436,0.004661,0.001376,0.000163,0.016639,0.020249,0.022032,0.04359,0.057151,0.066029,0.05795,0.049694,122.709518,137.837601,149.249329,51.385178,50.549217,51.64679,50.229603,62.797829,154.955338,39.011356,28.946882,51.65691
32,Plastic glooves,3,0.019097,0.20025,0.013401,0.023763,0.067518,0.007107,2.7e-05,0.0,0.0,0.000217,0.000136,0.000109,0.000163,0.000136,0.000326,0.001085,0.00236,0.037869,0.161513,0.089844,0.033257,0.007595,0.000841,5.4e-05,0.002333,0.019721,0.043511,0.046115,0.036838,0.034044,0.092258,0.058512,107.88192,141.52507,153.745682,30.11714,34.795456,33.129044,25.934408,92.782387,162.024902,10.029133,22.767237,34.915287
33,Plastic utensils,26,0.043463,0.137066,0.028126,0.023735,0.016373,0.004226,0.002983,0.00256,0.009985,0.021857,0.011118,0.007021,0.003909,0.002773,0.004795,0.013343,0.110474,0.068685,0.055057,0.047097,0.028339,0.0159,0.003343,0.004438,0.009766,0.029951,0.056468,0.059768,0.054562,0.053104,0.030004,0.03971,106.392769,121.341393,133.254379,49.523434,48.944534,46.713051,45.691799,68.758263,137.713211,32.561031,31.12565,48.066204
34,Pop tab,79,0.047343,0.121464,0.027408,0.014344,0.013785,0.005672,0.009287,0.004568,0.01968,0.030415,0.012065,0.004288,0.00391,0.004941,0.006597,0.007569,0.140752,0.068737,0.060695,0.038487,0.01654,0.004517,0.001643,0.001962,0.006185,0.033407,0.054817,0.056121,0.057627,0.043265,0.030278,0.051632,120.185448,130.498245,135.236359,40.898422,41.587051,41.243225,49.359398,54.188797,141.515396,25.091419,25.796986,41.253819
35,Rope & strings,24,0.058441,0.131432,0.023712,0.008392,0.007663,0.008233,0.011125,0.006266,0.018968,0.033569,0.011529,0.001689,0.001299,0.001367,0.003913,0.005734,0.08627,0.094937,0.084717,0.039517,0.01456,0.005537,0.002957,0.004839,0.017239,0.044305,0.026581,0.0527,0.05502,0.045508,0.059648,0.032332,109.204628,122.774353,131.516983,32.086952,31.250322,31.310356,43.992107,64.744698,138.961716,26.354231,28.732275,32.749069
36,Scrap metal,13,0.098395,0.113807,0.052108,0.014636,0.006141,0.003042,0.002022,0.002066,0.009403,0.004589,0.003718,0.001596,0.001897,0.002078,0.00596,0.011875,0.150578,0.080886,0.051514,0.028214,0.01222,0.005647,0.002923,0.001352,0.021729,0.029967,0.063358,0.064378,0.056778,0.046612,0.040052,0.01046,104.249588,113.174652,121.721565,50.061077,49.92033,50.197716,32.6712,50.096287,123.233795,39.536972,38.78619,50.690037
37,Squeezable tube,6,0.024048,0.123779,0.063137,0.026611,0.031426,0.001465,0.002062,0.009169,0.012709,0.008884,0.013753,0.004788,0.001655,0.001777,0.002645,0.005425,0.137912,0.037272,0.041721,0.036323,0.048272,0.025391,0.004476,0.001967,0.025133,0.045071,0.023736,0.031887,0.037923,0.052178,0.074178,0.043226,116.060707,131.606033,139.275711,36.393063,40.742607,42.439205,41.470703,70.314415,144.560013,26.128191,25.961897,42.345062
38,Plastic straw,128,0.069723,0.10744,0.03193,0.013838,0.007086,0.003365,0.003275,0.003275,0.011742,0.024103,0.014498,0.011848,0.004913,0.004233,0.007848,0.014217,0.101351,0.081008,0.064346,0.041133,0.021367,0.010892,0.009455,0.00378,0.009708,0.032429,0.045806,0.053087,0.059657,0.053448,0.038169,0.041029,113.995743,124.574623,133.175064,46.450974,46.418701,46.623104,49.925026,67.91774,141.508698,34.191059,34.925777,48.16127
39,Styrofoam piece,89,0.051041,0.122895,0.027173,0.010651,0.008702,0.006773,0.005883,0.003778,0.01965,0.047204,0.011825,0.004399,0.002912,0.002433,0.003354,0.00466,0.142001,0.085992,0.046383,0.032639,0.019944,0.003908,0.001552,0.000914,0.013409,0.027967,0.037672,0.045324,0.053559,0.047904,0.054018,0.05348,128.378296,136.989029,142.836273,49.001827,47.847706,46.829002,48.227516,52.064991,149.522736,28.997801,27.895418,47.989269
40,Unlabeled litter,337,0.048321,0.119572,0.028542,0.010876,0.008653,0.00494,0.004772,0.006311,0.019011,0.034387,0.015462,0.007215,0.003753,0.003141,0.006991,0.011386,0.116062,0.090903,0.052519,0.036451,0.023088,0.006925,0.004516,0.00287,0.013354,0.021961,0.03265,0.048011,0.058889,0.058862,0.048041,0.051565,127.236717,136.272598,142.676468,41.604378,40.53775,39.715519,52.110504,60.317554,151.475098,27.629362,27.043509,40.823433
41,Cigarette,456,0.059784,0.15398,0.028585,0.008598,0.007543,0.005204,0.005403,0.003036,0.007473,0.012838,0.00943,0.007784,0.003178,0.003145,0.005,0.012352,0.096983,0.089451,0.066833,0.038396,0.020846,0.011259,0.005259,0.004306,0.013126,0.027188,0.035461,0.045721,0.051936,0.056217,0.047891,0.055793,118.166595,134.098877,147.398071,34.664467,35.302132,35.67725,40.363571,66.822311,150.753723,17.835581,24.280294,36.12392
